business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees
905922,GASABO,Unclassified,PRIVATE CORPORATION,2021,59,M,Bachelor's Degree,13,Family/Friends,820376,708430,611760,528281,Fail,Decreased,2
29231028,NYAMASHEKE,"Electricity, Gas And Air Conditioning Supply",PRIVATE CORPORATION,2022,55,F,Vocational/Technical,2,Personal Savings,0,119789340,95863631,37318908,Success,Decreased,6
50000000,GATSIBO,Manufacturing,PRIVATE CORPORATION,2022,55,M,Vocational/Technical,1,Government Grant,0,142383516,264942203,66595477,Success,Decreased,3
6231270,GAKENKE,Construction,INDIVIDUAL,2021,50,F,Bachelor's Degree,1,Personal Savings,25448437,53854035,55419675,26629432,Success,Increased,4
50000,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2020,33,M,Primary,0,Personal Savings,203507,227244,253749,283346,Success,Increased,4
50000000,GISAGARA,Financial And Insurance Activities,COOPERATIVE,2022,35,F,Vocational/Technical,1,Crowdfunding,0,884643757,983256144,519917789,Success,Decreased,8
5658545,KAYONZA,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,JOINT VENTURE,2021,42,M,Bachelor's Degree,7,Bank Loan,11500527,6163500,9269879,7219576,Success,Decreased,7
2650047,NYAMASHEKE,Other Service Activities,INDIVIDUAL,2021,34,F,Bachelor's Degree,0,Microfinance,8317617,9704515,11322667,13210634,Success,Increased,3
327147,GASABO,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2018,30,F,Secondary,0,Microfinance,84074,92353,101447,111437,Fail,Increased,2
50000000,NGOMA,Information And Communication,INDIVIDUAL,2021,44,F,Bachelor's Degree,1,Microfinance,316706793,387391220,235687052,191967907,Success,Decreased,2
157113,GICUMBI,Other Service Activities,INDIVIDUAL,2021,21,F,Secondary,3,Foreign Investment,2857945,1434872,1619620,1677381,Fail,Decreased,3
143482,RUHANGO,Other Service Activities,INDIVIDUAL,2021,29,F,Bachelor's Degree,3,Government Grant,507634,619634,209047,691176,Fail,Increased,1
8746236,BUGESERA,Human Health And Social Work Activities,PRIVATE CORPORATION,2021,34,F,Bachelor's Degree,3,Foreign Investment,8759347,11382329,11779013,20971277,Success,Increased,2
1252697,KIREHE,Transportation And Storage,PRIVATE CORPORATION,2023,50,F,Bachelor's Degree,6,Bank Loan,3924650,4416139,4969178,5591475,Success,Increased,5
153027,RWAMAGANA,Other Service Activities,PRIVATE CORPORATION,2023,38,M,Diploma,4,Personal Savings,226139,230790,235536,240380,Fail,Stable,2
2183691,RUBAVU,Education,PRIVATE CORPORATION,2020,33,M,Diploma,1,Personal Savings,19388275,21084354,22928805,24934608,Success,Increased,9
584460,KIREHE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,34,M,No Formal Education,5,Venture Capital,0,3749015,2689545,3011406,Fail,Decreased,2
35575717,KAMONYI,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2023,47,F,Bachelor's Degree,15,Business Incubator,64582294,66836263,69168898,71582943,Fail,Stable,9
