business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees,education_level_numeric,business_age,avg_turnover,turnover_trend,capital_efficiency,employee_productivity,business_size_category
14015290.0,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,47,Male,Secondary,2,Bank Loan,0.0,9350407.0,14787941.0,9109411.0,Success,Decreased,5.0,3,2,8311939.75,3276576.7,0.5930622311017303,1385323.2916666667,Micro
8448003.0,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2021,34,Male,Bachelor's Degree,6,Foreign Investment,7618297.0,12052735.0,6651715.0,4233870.0,Fail,Decreased,1.0,6,3,7639154.25,-1555430.1,0.9042555200021212,3819577.125,Micro
2012080.0,NYARUGENGE,Manufacturing,PRIVATE CORPORATION,2021,21,Female,Bachelor's Degree,1,Bank Loan,4542597.0,750000.0,2160356.0,3973548.0,Success,Decreased,2.0,6,3,2856625.25,-29679.1,1.419736705430845,952208.4166666666,Micro
2029096.0,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,36,Female,Bachelor's Degree,3,Family/Friends,0.0,1533100.0,115967996.0,196044153.75,Success,Increased,5.0,6,2,78386312.4375,70256735.725,38.63113120639378,13064385.40625,Micro
63681.0,NGORORERO,Other Service Activities,INDIVIDUAL,2022,49,Female,Master's Degree,1,Crowdfunding,0.0,35125.0,28601.0,392225.0,Fail,Increased,1.0,7,2,113987.75,117015.1,1.7899524198360603,56993.875,Micro
62131416.0,NYAMASHEKE,Financial And Insurance Activities,INDIVIDUAL,2021,42,Female,Bachelor's Degree,1,Foreign Investment,107704.0,18429167.0,200000.0,33984016.0,Success,Increased,8.0,6,3,13180221.75,8339976.9,0.21213457516991766,1464469.0833333333,Small
321113.0,BUGESERA,Other Service Activities,INDIVIDUAL,2022,42,Male,No Formal Education,0,Venture Capital,0.0,206404.0,185253.0,411426.0,Fail,Increased,1.0,1,2,200770.75,121312.7,0.6252320048331745,100385.375,Micro
76662451.0,RUBAVU,Human Health And Social Work Activities,PRIVATE CORPORATION,2022,68,Male,Bachelor's Degree,6,Business Partner,0.0,156002898.0,86139046.0,72400805.0,Success,Decreased,11.0,6,2,78635687.25,14733856.3,1.0257392660751314,6552973.9375,Small
1179613.0,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,21,Female,Vocational/Technical,1,Bank Loan,0.0,9030000.0,52595000.0,4405000.0,Fail,Decreased,1.0,4,2,16507500.0,5678000.0,13.993984472886893,8253750.0,Micro
909889.0,RUBAVU,Other Service Activities,INDIVIDUAL,2022,37,Female,Bachelor's Degree,4,Venture Capital,0.0,1070658.0,841663.0,1615105.0,Success,Increased,2.0,6,2,881856.5,461632.0,0.9691902317862598,293952.1666666667,Micro
2239291.0,RUTSIRO,Transportation And Storage,INDIVIDUAL,2021,54,Male,No Formal Education,0,Foreign Investment,4099736.0,2705785.0,1521354.0,3515389.0,Fail,Decreased,2.0,1,3,2960566.0,-293747.2,1.3220991277600243,986855.3333333334,Micro
3591145.0,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,70,Female,Secondary,7,Inheritance,0.0,7637226.0,13983813.0,4162154.0,Success,Decreased,3.0,3,2,6445798.25,1883304.9,1.7949140051671528,1611449.5625,Micro
78791344.875,RULINDO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,61,Female,Certificate/Diploma,5,Venture Capital,49108839.375,166698618.875,1248361.0,1133990.0,Success,Decreased,13.5,5,3,54547452.3125,-30937480.6,0.6923025835735541,3761893.2629310344,Small
35821814.0,NYARUGENGE,Transportation And Storage,INDIVIDUAL,2022,37,Male,Bachelor's Degree,1,Family/Friends,0.0,51459148.0,33796109.0,23579400.0,Fail,Decreased,1.0,6,2,27208664.25,5307516.1,0.75955571346678,13604332.125,Micro
135512.0,GASABO,Other Service Activities,INDIVIDUAL,2021,35,Female,Bachelor's Degree,0,Business Partner,270146.0,258424.0,132395.0,90126.0,Success,Decreased,1.0,6,3,187772.75,-66608.9,1.3856438127707305,93886.375,Micro
78791344.875,NYAMAGABE,Financial And Insurance Activities,INDIVIDUAL,2021,21,Female,Primary,0,Bank Loan,49108839.375,42720820.0,90200246.0,86416102.0,Success,Increased,3.0,2,3,67111501.84375,15940121.3875,0.8517623490049312,16777875.4609375,Micro
5143115.0,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,32,Male,Bachelor's Degree,1,Venture Capital,17190559.0,15400084.0,17166341.0,6407666.0,Success,Decreased,2.0,6,3,14041162.5,-3058242.2,2.730088627205764,4680387.5,Micro
50000.0,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,40,Female,Certificate/Diploma,3,Government Grant,0.0,700.0,35060.0,5722963.0,Success,Increased,1.0,5,2,1439680.75,1720324.9,28.793039139217214,719840.375,Micro
172650.0,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,21,Female,No Formal Education,0,Venture Capital,0.0,313136.0,2005500.0,2080700.0,Success,Increased,1.0,1,2,1099834.0,793446.4,6.370272978436267,549917.0,Micro
8710728.0,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,30,Male,Secondary,0,Foreign Investment,18098581.0,9588974.0,15500531.0,9566440.0,Fail,Decreased,1.0,3,3,13188631.5,-1968486.6,1.514067479312007,6594315.75,Micro
399682.0,NYAMASHEKE,Other Service Activities,INDIVIDUAL,2022,63,Female,Bachelor's Degree,4,Microfinance,0.0,298750.0,3302110.0,7071320.0,Success,Increased,1.0,6,2,2668045.0,2421732.0,6.675402756684672,1334022.5,Micro
2889077.0,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,27,Male,No Formal Education,0,Venture Capital,0.0,2188424.0,5503966.0,2040501.0,Fail,Decreased,1.0,1,2,2433222.75,943704.5,0.8422142808190017,1216611.375,Micro
91612.0,RUHANGO,Other Service Activities,INDIVIDUAL,2022,35,Female,No Formal Education,1,Inheritance,0.0,49259.0,75372.0,180773.0,Fail,Increased,1.0,1,2,76351.0,56843.2,0.8334079224564199,38175.5,Micro
158722.0,RULINDO,Other Service Activities,INDIVIDUAL,2022,40,Male,Vocational/Technical,2,Venture Capital,0.0,419545.0,60000.0,56990.0,Success,Decreased,1.0,4,2,134133.75,-18857.5,0.8450807381412901,67066.875,Micro
374121.0,GATSIBO,Information And Communication,INDIVIDUAL,2022,47,Male,Primary,3,Crowdfunding,0.0,827000.0,5940000.0,1623000.0,Success,Increased,2.0,2,2,2097500.0,998200.0,5.606459924837353,699166.6666666666,Micro
727395.0,KAYONZA,Other Service Activities,INDIVIDUAL,2022,46,Male,Master's Degree,5,Family/Friends,0.0,539153.0,962416.0,1118619.0,Success,Increased,1.0,7,2,655047.0,377912.0,0.9005369839812152,327523.5,Micro
808913.0,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,30,Female,No Formal Education,0,Crowdfunding,1364600.0,1543849.0,780218.0,1434878.0,Fail,Increased,1.0,1,3,1280886.25,-55279.7,1.583464064165041,640443.125,Micro
16316773.0,RUBAVU,Transportation And Storage,INDIVIDUAL,2021,23,Male,PhD,1,Foreign Investment,32116945.0,20071478.0,30335298.0,18790257.0,Success,Decreased,5.0,8,3,25328494.5,-2971624.4,1.5522979297255695,4221415.75,Micro
665399.0,GATSIBO,Other Service Activities,INDIVIDUAL,2021,35,Female,Vocational/Technical,2,Microfinance,587468.0,619439.0,1192446.0,356969.0,Fail,Decreased,1.0,4,3,689080.5,-11849.0,1.035588367899008,344540.25,Micro
116153.0,KAMONYI,Other Service Activities,INDIVIDUAL,2022,38,Female,Certificate/Diploma,0,Bank Loan,0.0,42544.0,228879.0,71204.0,Fail,Increased,1.0,5,2,85656.75,39994.7,0.7374412417996797,42828.375,Micro
697953.0,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,21,Female,Certificate/Diploma,1,Foreign Investment,1346904.0,1509059.0,10000.0,1077670.0,Success,Decreased,1.0,5,3,985908.25,-230676.1,1.4125690948114058,492954.125,Micro
6058801.0,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,24,Male,Secondary,0,Inheritance,157627.0,16716593.0,31348365.0,103915118.0,Success,Increased,9.0,3,3,38034425.75,32590424.5,6.277548886727112,3803442.575,Small
40548725.0,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2021,23,Male,Secondary,0,Bank Loan,35857659.0,57468514.0,25237172.0,20589721.0,Fail,Decreased,6.0,3,3,34788266.5,-7803515.6,0.8579373492523539,4969752.357142857,Small
708412.0,NGOMA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,33,Female,Certificate/Diploma,5,Family/Friends,1025035.0,454072.0,968696.0,392398.0,Fail,Decreased,1.0,5,3,710050.25,-138328.7,1.0023111518281003,355025.125,Micro
454068.0,RUTSIRO,Other Service Activities,INDIVIDUAL,2022,35,Female,Secondary,6,Foreign Investment,0.0,388059.0,439229.0,433588.0,Fail,Increased,1.0,3,2,315219.0,135193.4,0.6942094703668386,157609.5,Micro
1306830.0,KICUKIRO,Other Service Activities,PRIVATE CORPORATION,2021,54,Female,Bachelor's Degree,5,Bank Loan,1514024.0,2313449.0,748573.0,1902933.0,Fail,Increased,1.0,6,3,1619744.75,-39814.9,1.2394446948381237,809872.375,Micro
4565203.0,KICUKIRO,Financial And Insurance Activities,INDIVIDUAL,2022,52,Female,Vocational/Technical,2,Inheritance,0.0,7292725.0,16193225.0,17194572.0,Success,Increased,4.0,4,2,10170130.5,6048421.6,2.227749406160163,2034026.1,Micro
78791344.875,GASABO,Information And Communication,PRIVATE CORPORATION,2022,46,Female,Primary,0,Inheritance,0.0,166698618.875,185566199.75,196044153.75,Success,Decreased,7.0,2,2,137077243.09375,60700004.2125,1.7397499886753902,17134655.38671875,Small
146742.0,NYAMAGABE,Other Service Activities,INDIVIDUAL,2021,43,Female,Certificate/Diploma,4,Government Grant,307574.0,275709.0,100000.0,208018.0,Success,Decreased,1.0,5,3,222825.25,-47437.7,1.5184727721254165,111412.625,Micro
78791344.875,NYARUGENGE,Real Estate Activities,PRIVATE CORPORATION,2022,37,Male,Secondary,2,Government Grant,0.0,33900000.0,48675000.0,56487500.0,Success,Increased,6.0,3,2,34765625.0,18423750.0,0.44123659285062317,4966517.857142857,Small
114472.0,RUSIZI,Other Service Activities,INDIVIDUAL,2022,59,Male,Bachelor's Degree,0,Family/Friends,0.0,201452.0,134369.0,49000.0,Success,Decreased,2.0,6,2,96205.25,7991.7,0.8404187013531575,32068.416666666668,Micro
422814.0,GASABO,Other Service Activities,PRIVATE CORPORATION,2021,70,Male,Bachelor's Degree,3,Crowdfunding,345301.0,313678.0,464873.0,810042.0,Fail,Increased,1.0,6,3,483473.5,154541.8,1.143463453283351,241736.75,Micro
1523457.0,MUHANGA,Other Service Activities,INDIVIDUAL,2022,21,Female,Primary,0,Personal Savings,0.0,767657.0,1209314.0,2615480.0,Fail,Increased,1.0,2,2,1148112.75,828809.7,0.7536228435572231,574056.375,Micro
