business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees,employment_2021,employment_2022,employment_2023,employment_2024,employment_growth
13537321,RWAMAGANA,Transportation And Storage,INDIVIDUAL,2021,44,M,Master's Degree,5,Family/Friends,62824689,29245623,58305977,50686998,Success,Decreased,6,6,6,5,4,Decreased
180097,MUHANGA,Financial And Insurance Activities,PRIVATE CORPORATION,2022,22,M,Primary,0,Personal Savings,362624,396895,434405,475460,Success,Increased,1,0,1,1,1,Stable
6237599,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,34,F,Master's Degree,2,Microfinance,0,13971715,30609291,20583362,Fail,Increased,2,0,2,2,1,Decreased
1339144,RWAMAGANA,Transportation And Storage,INDIVIDUAL,2022,34,M,Certificate/Diploma,1,Business Partner,0,4703839,2656306,5074034,Fail,Increased,1,0,1,1,1,Stable
9428071,NYANZA,Transportation And Storage,INDIVIDUAL,2022,36,F,Master's Degree,0,Foreign Investment,0,45269072,41167127,21769196,Fail,Decreased,2,0,2,1,1,Decreased
408056,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,51,F,Primary,12,Family/Friends,574246,566333,558529,550832,Fail,Stable,4,0,4,3,2,Decreased
306165,NYABIHU,Other Service Activities,INDIVIDUAL,2021,28,M,Master's Degree,3,Business Partner,718763,2000000,2000000,2000000,Success,Increased,1,1,1,1,1,Stable
172153,NYARUGENGE,Construction,COOPERATIVE,2022,30,F,None,0,Personal Savings,197608,158768,127562,102490,Success,Decreased,2,0,2,2,1,Decreased
50000000,NGORORERO,Mining And Quarrying,COOPERATIVE,2021,34,M,Bachelor's Degree,1,Family/Friends,512587048,299376145,607514786,1386124601,Success,Increased,12,12,13,14,15,Increased
1080453,NYARUGURU,Accommodation And Food Service Activities,INDIVIDUAL,2022,28,F,Vocational/Technical,0,Personal Savings,0,2000000,5321004,4007172,Fail,Increased,1,0,1,1,1,Stable
50000000,KICUKIRO,Other Service Activities,PRIVATE CORPORATION,2022,42,F,Vocational/Technical,0,Family/Friends,0,1751282,1806481,289861295,Success,Increased,5,0,5,5,6,Increased
3446715,RUBAVU,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,PRIVATE CORPORATION,2021,46,M,Vocational/Technical,3,Family/Friends,12021520,6273460,12701880,7480284,Success,Decreased,6,6,5,4,3,Decreased
50000000,NGOMA,Transportation And Storage,JOINT VENTURE,2021,42,M,Vocational/Technical,2,Personal Savings,313142039,150597818,274763731,337848741,Success,Increased,10,10,12,14,16,Increased
565358,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,48,M,Primary,7,Foreign Investment,1277077,1571360,1933457,2378994,Success,Increased,4,4,5,5,6,Increased
2419168,GATSIBO,Motorcycle transport,PRIVATE CORPORATION,2022,32,F,Secondary,3,Personal Savings,6063786,7491024,9254192,11432358,Success,Increased,3,0,3,3,3,Stable
