business_status,education_level_numeric,owner_business_experience,owner_age,owner_gender,entrepreneur_capability,gender_success_factor,business_location,business_sector,entity_type,location_success_probability,sector_success_probability,market_positioning_score,entity_type_advantage,business_capital,capital_source,number_of_employees,capital_adequacy,capital_source_effectiveness,financial_planning_score,business_scale_score,overall_risk_score,risk_adjusted_success_probability,under_capitalization_risk,experience_gap,pre_investment_success_score,prediction_confidence,success_category,improvement_focus
Success,3,2,47,Male,0.5852777058518902,0.6768513723459347,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,0.6970091027308193,0.6973684210526315,1.417725361911249,0.718362748779572,14015290.0,Bank Loan,5.0,1.7765355877143603,0.671356783919598,1.0455409321044693,1.0,0.3552214529144172,0.6447785470855828,0,1,0.9203555946766131,0.7999999999999999,Excellent,Skills & Experience Development
Fail,6,6,34,Male,0.8290277058518901,0.6768513723459347,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,0.6970091027308193,0.6973684210526315,1.417725361911249,0.718362748779572,8448003.0,Foreign Investment,1.0,1.070843198722087,0.6920762286860582,0.8653336682863392,0.7,0.18967743862852132,0.8103225613714786,0,0,0.9815375815792599,0.8999999999999999,Excellent,Risk Mitigation & Strategy
Success,6,1,21,Female,0.5801503446636559,0.6843356310910388,NYARUGENGE,Manufacturing,PRIVATE CORPORATION,0.7013574660633484,0.750733137829912,1.6452062370550662,0.718362748779572,2012080.0,Bank Loan,2.0,0.06320148066512077,0.671356783919598,0.4322074053421595,0.7,0.5262703664907433,0.4737296335092567,1,1,0.7881444407002545,0.7,Good,Capital Strategy & Financial Planning
Success,6,3,36,Female,0.7851503446636559,0.6843356310910388,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,0.6956521739130435,0.6238907849829352,0.9095581445990679,0.718362748779572,2029096.0,Family/Friends,5.0,0.561850313433402,0.696969696969697,0.6995534874492597,1.0,0.3421795857828869,0.6578204142171131,0,0,0.7693870942546013,0.7999999999999999,Good,Risk Mitigation & Strategy
Fail,7,1,49,Female,0.7114003446636559,0.6843356310910388,NGORORERO,Other Service Activities,INDIVIDUAL,0.7056737588652482,0.5479876160990712,0.9396566200122203,0.6199585157870477,63681.0,Crowdfunding,1.0,0.10219135062011106,0.6709741550695825,0.4418400841759025,0.7,0.5390002045411058,0.46099979545889425,1,1,0.6509942385379062,0.6,Good,Capital Strategy & Financial Planning
Success,6,1,42,Female,0.6801503446636559,0.6843356310910388,NYAMASHEKE,Financial And Insurance Activities,INDIVIDUAL,0.6842105263157895,0.7864321608040201,1.8220989161181738,0.6199585157870477,62131416.0,Foreign Investment,8.0,0.7885563485432721,0.6920762286860582,0.7547619557416354,1.0,0.3152117429251521,0.6847882570748479,0,1,0.9852179727790187,0.7999999999999999,Excellent,Skills & Experience Development
Fail,1,0,42,Male,0.4527777058518902,0.6768513723459347,BUGESERA,Other Service Activities,INDIVIDUAL,0.6588628762541806,0.5479876160990712,0.8739988726177654,0.6199585157870477,321113.0,Venture Capital,1.0,0.5153023848820798,0.6891891891891891,0.6255823529772767,0.7,0.4030741510729411,0.5969258489270589,0,1,0.6301137879397394,0.6,Moderate,Skills & Experience Development
Success,6,6,68,Male,0.7290277058518901,0.6768513723459347,RUBAVU,Human Health And Social Work Activities,PRIVATE CORPORATION,0.6776859504132231,0.6634615384615384,1.7458078644735238,0.718362748779572,76662451.0,Business Partner,11.0,10.742891627433687,0.6854838709677419,1.0156451612903226,0.8,0.1677712602712603,0.8322287397287397,0,0,1.0755173161422766,0.8999999999999999,Excellent,Skills & Experience Development
Fail,4,1,21,Female,0.5176503446636559,0.6843356310910388,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,0.668918918918919,0.6238907849829352,0.8920859349020875,0.6199585157870477,1179613.0,Bank Loan,1.0,0.3266311371074191,0.671356783919598,0.4980648194527342,0.7,0.5118416363985105,0.48815836360148945,1,1,0.6004644647081001,0.7999999999999999,Moderate,Risk Mitigation & Strategy
Success,6,4,37,Female,0.7851503446636559,0.6843356310910388,RUBAVU,Other Service Activities,INDIVIDUAL,0.6776859504132231,0.5479876160990712,0.808721360920631,0.6199585157870477,909889.0,Venture Capital,2.0,1.460133883330699,0.6891891891891891,0.9617902275894314,0.7,0.25057113004434833,0.7494288699556517,0,0,0.8280587745177427,0.7999999999999999,Excellent,Risk Mitigation & Strategy
Fail,1,0,54,Male,0.4027777058518902,0.6768513723459347,RUTSIRO,Transportation And Storage,INDIVIDUAL,0.65,0.7173447537473233,1.177038626223991,0.6199585157870477,2239291.0,Foreign Investment,2.0,0.14444479241146077,0.6920762286860582,0.45873406670868266,0.7,0.5349937305386208,0.46500626946137924,1,1,0.6227777388810113,0.6,Moderate,Skills & Experience Development
Success,3,7,70,Female,0.6364003446636558,0.6843356310910388,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,0.668918918918919,0.6238907849829352,0.8920859349020875,0.6199585157870477,3591145.0,Inheritance,3.0,0.9943767785431514,0.6826003824091779,0.8433743093585412,0.7,0.17267446401686004,0.82732553598314,0,0,0.7902502716608819,0.8999999999999999,Good,Skills & Experience Development
Success,5,5,61,Female,0.7039003446636559,0.6843356310910388,RULINDO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,0.680365296803653,0.6238907849829352,1.0475712672965507,0.718362748779572,78791344.875,Venture Capital,13.5,21.817076084058133,0.6891891891891891,1.0167567567567568,0.8,0.2493557998911909,0.7506442001088092,0,0,0.8773809494341855,0.8999999999999999,Excellent,Skills & Experience Development
Fail,6,1,37,Male,0.6790277058518902,0.6768513723459347,NYARUGENGE,Transportation And Storage,INDIVIDUAL,0.7013574660633484,0.7173447537473233,0.8751453947031287,0.6199585157870477,35821814.0,Family/Friends,1.0,2.3106753374313382,0.696969696969697,1.049090909090909,0.7,0.44433903840525013,0.5556609615947499,0,1,0.7958995800230265,0.7999999999999999,Good,Risk Mitigation & Strategy
Success,6,0,35,Female,0.5851503446636559,0.6843356310910388,GASABO,Other Service Activities,INDIVIDUAL,0.6970091027308193,0.5479876160990712,0.5883074311735743,0.6199585157870477,135512.0,Business Partner,1.0,0.21746131978506134,0.6854838709677419,0.4750104912365879,0.7,0.546715769570051,0.45328423042994903,1,1,0.5320314300876271,0.5,Moderate,Risk Mitigation & Strategy
Success,2,0,21,Female,0.3851503446636558,0.6843356310910388,NYAMAGABE,Financial And Insurance Activities,INDIVIDUAL,0.6278195488721805,0.7864321608040201,1.832745525535096,0.6199585157870477,78791344.875,Bank Loan,3.0,0.9999999873082508,0.671356783919598,0.8414070320029421,0.7,0.3860252310503567,0.6139747689496433,0,1,0.9068781965735349,0.7,Excellent,Skills & Experience Development
Success,6,1,32,Male,0.6540277058518902,0.6768513723459347,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,0.657762938230384,0.6238907849829352,0.6396499438077341,0.718362748779572,5143115.0,Venture Capital,2.0,1.4241124001890653,0.6891891891891891,0.952784856804023,0.7,0.376681479136849,0.623318520863151,0,1,0.7189807160811366,0.7999999999999999,Good,Risk Mitigation & Strategy
Success,5,3,40,Female,0.7539003446636559,0.6843356310910388,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,0.6387959866220736,0.6238907849829352,0.8630325707477713,0.6199585157870477,50000.0,Government Grant,1.0,0.013844843059012535,0.6453900709219859,0.41207823204134886,0.7,0.3880161717834073,0.6119838282165927,1,0,0.6673445697396954,0.7,Good,Capital Strategy & Financial Planning
Success,1,0,21,Female,0.3539003446636558,0.6843356310910388,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,0.6863354037267081,0.6238907849829352,0.8695514202301435,0.6199585157870477,172650.0,Venture Capital,1.0,0.04780624308277029,0.6891891891891891,0.4337083175274493,0.7,0.5391844723812608,0.46081552761873923,1,1,0.5241481433622428,0.6,Moderate,Skills & Experience Development
Fail,3,0,30,Male,0.49027770585189023,0.6768513723459347,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,0.6846590909090909,0.6238907849829352,0.8313302626327572,0.6199585157870477,8710728.0,Foreign Investment,1.0,2.411973241794923,0.6920762286860582,1.0476228686058173,0.7,0.4054332928021763,0.5945667071978237,0,1,0.7357349360047755,0.7,Good,Skills & Experience Development
